datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-09 12:40:00,5203.47998046875,5204.39990234375,5203.4501953125,5204.39990234375,0,0.0,0.0
2024-05-09 12:45:00,5204.41015625,5206.080078125,5204.02978515625,5205.169921875,13320747,0.0,0.0
2024-05-09 12:50:00,5205.06005859375,5206.64990234375,5205.0400390625,5206.4501953125,13269393,0.0,0.0
2024-05-09 12:55:00,5206.43994140625,5207.4501953125,5205.14013671875,5206.009765625,13609730,0.0,0.0
2024-05-09 13:00:00,5206.0,5209.68017578125,5204.2001953125,5209.41015625,15669987,0.0,0.0
2024-05-09 13:05:00,5209.43017578125,5209.77978515625,5207.06005859375,5207.31982421875,12116101,0.0,0.0
2024-05-09 13:10:00,5207.27978515625,5209.31982421875,5207.1298828125,5208.18994140625,10712173,0.0,0.0
2024-05-09 13:15:00,5208.18017578125,5208.18017578125,5205.8798828125,5206.64013671875,12727838,0.0,0.0
2024-05-09 13:20:00,5206.64990234375,5206.64990234375,5201.89013671875,5204.10009765625,14943208,0.0,0.0
2024-05-09 13:25:00,5204.009765625,5208.60009765625,5204.009765625,5208.52001953125,12905489,0.0,0.0
2024-05-09 13:30:00,5208.5498046875,5208.5498046875,5207.02001953125,5207.60009765625,13950325,0.0,0.0
2024-05-09 13:35:00,5207.60009765625,5208.22998046875,5206.81005859375,5207.3701171875,14475354,0.0,0.0
2024-05-09 13:40:00,5207.43017578125,5208.10009765625,5206.669921875,5208.0498046875,14427740,0.0,0.0
2024-05-09 13:45:00,5208.0498046875,5209.43017578125,5206.35986328125,5206.89990234375,13376939,0.0,0.0
2024-05-09 13:50:00,5206.91015625,5207.22021484375,5205.8798828125,5206.02001953125,13139092,0.0,0.0
2024-05-09 13:55:00,5205.97998046875,5206.759765625,5205.580078125,5205.97998046875,12367933,0.0,0.0
2024-05-09 14:00:00,5205.990234375,5205.990234375,5203.72021484375,5204.97998046875,13378104,0.0,0.0
2024-05-09 14:05:00,5204.9501953125,5206.06005859375,5204.9501953125,5205.330078125,13271000,0.0,0.0
2024-05-09 14:10:00,5205.31982421875,5206.08984375,5204.3798828125,5204.77978515625,12787000,0.0,0.0
2024-05-09 14:15:00,5204.7900390625,5206.5498046875,5204.2001953125,5205.72998046875,12852000,0.0,0.0
2024-05-09 14:20:00,5205.740234375,5205.83984375,5203.3701171875,5204.080078125,12835000,0.0,0.0
2024-05-09 14:25:00,5204.06005859375,5208.5,5204.06005859375,5208.47998046875,14994000,0.0,0.0
2024-05-09 14:30:00,5208.41015625,5209.58984375,5207.41015625,5207.52978515625,14827000,0.0,0.0
2024-05-09 14:35:00,5207.43017578125,5210.58984375,5207.43017578125,5210.02001953125,13557000,0.0,0.0
2024-05-09 14:40:00,5210.06982421875,5210.60009765625,5209.60986328125,5210.5,15519000,0.0,0.0
2024-05-09 14:45:00,5210.4501953125,5211.9501953125,5210.33984375,5211.18994140625,14968000,0.0,0.0
2024-05-09 14:50:00,5211.31982421875,5213.0,5211.2998046875,5212.06982421875,14757000,0.0,0.0
2024-05-09 14:55:00,5212.06982421875,5213.990234375,5212.02978515625,5212.47998046875,16674000,0.0,0.0
2024-05-09 15:00:00,5212.56982421875,5212.740234375,5210.77001953125,5211.68994140625,20246000,0.0,0.0
2024-05-09 15:05:00,5211.7099609375,5213.93017578125,5211.56005859375,5212.60009765625,15500000,0.0,0.0
2024-05-09 15:10:00,5212.669921875,5212.72021484375,5210.43994140625,5211.5400390625,16870000,0.0,0.0
2024-05-09 15:15:00,5211.43017578125,5211.43017578125,5209.919921875,5211.31005859375,18395000,0.0,0.0
2024-05-09 15:20:00,5211.33984375,5212.27001953125,5209.64990234375,5211.02978515625,19037000,0.0,0.0
2024-05-09 15:25:00,5211.02001953125,5211.5,5209.93994140625,5210.3701171875,20043000,0.0,0.0
2024-05-09 15:30:00,5210.419921875,5211.27001953125,5209.81005859375,5211.14990234375,28696000,0.0,0.0
2024-05-09 15:35:00,5211.16015625,5214.1298828125,5210.72998046875,5212.06982421875,27058000,0.0,0.0
2024-05-09 15:40:00,5212.08984375,5212.08984375,5209.91015625,5210.81982421875,31221000,0.0,0.0
2024-05-09 15:45:00,5210.81982421875,5211.5,5210.009765625,5210.52001953125,37895000,0.0,0.0
2024-05-09 15:50:00,5210.52978515625,5215.2998046875,5210.52978515625,5212.93994140625,71044000,0.0,0.0
2024-05-09 15:55:00,5212.93994140625,5215.080078125,5211.10986328125,5214.580078125,162774000,0.0,0.0
2024-05-10 09:30:00,5225.490234375,5233.89013671875,5225.490234375,5233.89013671875,0,0.0,0.0
2024-05-10 09:35:00,5233.759765625,5235.6201171875,5230.9599609375,5234.3798828125,33245557,0.0,0.0
2024-05-10 09:40:00,5234.43994140625,5237.72021484375,5234.39990234375,5235.509765625,29267950,0.0,0.0
